race,Unarmed,Firearm,Other/Unknown
Asian,0.26761760121,0.735948403326,0.936661604234
Black,2.28202374536,5.04168036765,3.13114885991
Hispanic,0.832052335933,2.15937391945,1.94145545051
Native American,2.22509209656,4.45018419312,2.67011051587
White,0.614782567766,1.97644974265,1.27021191687
